,log_10(dose),cumulative probability
0,0.09009009,0
1,0.382882883,0.010021977
2,0.788288288,0.054914327
3,0.934684685,0.074320234
4,1.086711712,0.113097965
5,1.390765766,0.216077155
6,1.790540541,0.323922136
7,1.936936937,0.359066542
8,2.094594595,0.395424329
9,2.393018018,0.470557119
10,2.804054054,0.549349137
11,2.95045045,0.573597659
12,3.113738739,0.601482233
13,3.30518018,0.639058853
14,3.440315315,0.692360339
15,3.643018018,0.786840412
16,3.800675676,0.826830159
17,3.935810811,0.869235761
18,4.054054054,0.900741389
19,4.296171171,0.958911393
20,4.46719153,1
